freq,Vout,deg
2.35E+07,-6.89E-02,-6.74E+00
2.39E+07,-7.06E-02,-6.83E+00
2.42E+07,-7.23E-02,-6.92E+00
2.45E+07,-7.41E-02,-7.02E+00
2.49E+07,-7.59E-02,-7.12E+00
2.52E+07,-7.77E-02,-7.22E+00
2.56E+07,-7.97E-02,-7.32E+00
2.59E+07,-8.17E-02,-7.42E+00
2.63E+07,-8.37E-02,-7.52E+00
2.67E+07,-8.58E-02,-7.62E+00
2.70E+07,-8.79E-02,-7.73E+00
2.74E+07,-9.01E-02,-7.83E+00
2.78E+07,-9.24E-02,-7.94E+00
2.82E+07,-9.47E-02,-8.05E+00
2.86E+07,-9.71E-02,-8.16E+00
2.90E+07,-9.96E-02,-8.28E+00
2.94E+07,-1.02E-01,-8.39E+00
2.98E+07,-1.05E-01,-8.50E+00
3.02E+07,-1.07E-01,-8.62E+00
3.06E+07,-1.10E-01,-8.74E+00
3.10E+07,-1.13E-01,-8.86E+00
3.15E+07,-1.16E-01,-8.98E+00
3.19E+07,-1.19E-01,-9.10E+00
3.24E+07,-1.22E-01,-9.23E+00
3.28E+07,-1.25E-01,-9.36E+00
3.33E+07,-1.28E-01,-9.48E+00
3.37E+07,-1.32E-01,-9.61E+00
3.42E+07,-1.35E-01,-9.75E+00
3.47E+07,-1.38E-01,-9.88E+00
3.52E+07,-1.42E-01,-1.00E+01
3.57E+07,-1.46E-01,-1.02E+01
3.62E+07,-1.50E-01,-1.03E+01
3.67E+07,-1.53E-01,-1.04E+01
3.72E+07,-1.57E-01,-1.06E+01
3.77E+07,-1.62E-01,-1.07E+01
3.82E+07,-1.66E-01,-1.09E+01
3.88E+07,-1.70E-01,-1.10E+01
3.93E+07,-1.75E-01,-1.12E+01
3.98E+07,-1.79E-01,-1.13E+01
4.04E+07,-1.84E-01,-1.15E+01
4.10E+07,-1.89E-01,-1.16E+01
4.15E+07,-1.94E-01,-1.18E+01
4.21E+07,-1.99E-01,-1.19E+01
4.27E+07,-2.04E-01,-1.21E+01
4.33E+07,-2.09E-01,-1.23E+01
4.39E+07,-2.15E-01,-1.24E+01
4.45E+07,-2.20E-01,-1.26E+01
